date,amount,description
2022-01-05,1000,Netflix Subscription
2022-01-10,2500,Electricity Bill
2022-01-15,3000,Health Insurance Premium
2022-01-25,2000,Spotify Subscription
2022-02-05,1000,Netflix Subscription
2022-02-10,2700,Electricity Bill
2022-02-15,3100,Health Insurance Premium
2022-02-25,2000,Spotify Subscription
2022-03-05,1000,Netflix Subscription
2022-03-10,2600,Electricity Bill
2022-03-15,3200,Health Insurance Premium
2022-03-25,2000,Spotify Subscription
2022-04-05,1000,Netflix Subscription
2022-04-10,2800,Electricity Bill
2022-04-15,3300,Health Insurance Premium
2022-04-25,2000,Spotify Subscription
2022-05-05,1000,Netflix Subscription
2022-05-10,2900,Electricity Bill
2022-05-15,3400,Health Insurance Premium
2022-05-25,2000,Spotify Subscription
2022-06-05,1000,Netflix Subscription
2022-06-10,3000,Electricity Bill
2022-06-15,3500,Health Insurance Premium
2022-06-25,2000,Spotify Subscription
2022-07-05,1000,Netflix Subscription
2022-07-10,3100,Electricity Bill
2022-07-15,3600,Health Insurance Premium
2022-07-25,2000,Spotify Subscription
2022-08-05,1000,Netflix Subscription
2022-08-10,3200,Electricity Bill
2022-08-15,3700,Health Insurance Premium
2022-08-25,2000,Spotify Subscription
2022-09-05,1000,Netflix Subscription
2022-09-10,3300,Electricity Bill
2022-09-15,3800,Health Insurance Premium
2022-09-25,2000,Spotify Subscription
2022-10-05,1000,Netflix Subscription
2022-10-10,3400,Electricity Bill
2022-10-15,3900,Health Insurance Premium
2022-10-25,2000,Spotify Subscription
2022-11-05,1000,Netflix Subscription
2022-11-10,3500,Electricity Bill
2022-11-15,4000,Health Insurance Premium
2022-11-25,2000,Spotify Subscription
2022-12-05,1000,Netflix Subscription
2022-12-10,3600,Electricity Bill
2022-12-15,4100,Health Insurance Premium
2022-12-25,2000,Spotify Subscription
2023-01-05,1000,Netflix Subscription
2023-01-10,3700,Electricity Bill
2023-01-15,4200,Health Insurance Premium
2023-01-25,2000,Spotify Subscription
2023-02-05,1000,Netflix Subscription
2023-02-10,3800,Electricity Bill
2023-02-15,4300,Health Insurance Premium
2023-02-25,2000,Spotify Subscription
2023-03-05,1000,Netflix Subscription
2023-03-10,3900,Electricity Bill
2023-03-15,4400,Health Insurance Premium
2023-03-25,2000,Spotify Subscription
2023-04-05,1000,Netflix Subscription
2023-04-10,4000,Electricity Bill
2023-04-15,4500,Health Insurance Premium
2023-04-25,2000,Spotify Subscription
2023-05-05,1000,Netflix Subscription
2023-05-10,4100,Electricity Bill
2023-05-15,4600,Health Insurance Premium
2023-05-25,2000,Spotify Subscription
2023-06-05,1000,Netflix Subscription
2023-06-10,4200,Electricity Bill
2023-06-15,4700,Health Insurance Premium
2023-06-25,2000,Spotify Subscription
2023-07-05,1000,Netflix Subscription
2023-07-10,4300,Electricity Bill
2023-07-15,4800,Health Insurance Premium
2023-07-25,2000,Spotify Subscription
2023-08-05,1000,Netflix Subscription
2023-08-10,4400,Electricity Bill
2023-08-15,4900,Health Insurance Premium
2023-08-25,2000,Spotify Subscription
2023-09-05,1000,Netflix Subscription
2023-09-10,4500,Electricity Bill
2023-09-15,5000,Health Insurance Premium
2023-09-25,2000,Spotify Subscription
2023-10-05,1000,Netflix Subscription
2023-10-10,4600,Electricity Bill
2023-10-15,5100,Health Insurance Premium
2023-10-25,2000,Spotify Subscription
2023-11-05,1000,Netflix Subscription
2023-11-10,4700,Electricity Bill
2023-11-15,5200,Health Insurance Premium
2023-11-25,2000,Spotify Subscription
2023-12-05,1000,Netflix Subscription
2023-12-10,4800,Electricity Bill
2023-12-15,5300,Health Insurance Premium
2023-12-25,2000,Spotify Subscription
